Folio,Line,Tokens_Count,Z_mean_index,Z_max_index,Thold_sec,Clock_Hz,Coherence_C_Star,Status
f1r,5,10,5.9019,7.1922,2.9294,0.0416,0.4924,UNSTABLE
f1r,24,10,7.9533,20.0696,6.0659,0.0416,0.6378,UNSTABLE
f1r,25,9,6.8903,11.0728,3.863,0.0416,0.5734,UNSTABLE
f1r,26,9,6.2752,12.3291,4.7229,0.0416,0.5054,UNSTABLE
f1r,27,7,11.3447,26.4508,5.6047,0.0416,0.6573,UNSTABLE
f1r,28,5,7.1453,8.998,3.0271,0.0416,0.6765,UNSTABLE
f1r,29,1,14.4,14.4,2.4038,0.0416,0.6,UNSTABLE
f1r,31,9,7.6605,18.0,5.6483,0.0416,0.6553,UNSTABLE
f1r,32,9,8.2399,17.4838,5.1006,0.0416,0.4828,UNSTABLE
f1r,33,4,6.7153,8.932,3.1973,0.0416,0.8511,UNSTABLE
f1r,34,3,6.6741,14.3945,5.1845,0.0416,0.4782,UNSTABLE
f1r,36,7,8.5613,15.2545,4.2831,0.0416,0.5367,UNSTABLE
f1r,37,8,8.0723,12.9554,3.858,0.0416,0.7739,UNSTABLE
f1r,38,9,6.8792,17.9981,6.2892,0.0416,0.4293,UNSTABLE
f1r,39,10,7.0294,27.0939,9.2653,0.0416,0.3557,UNSTABLE
f1r,40,11,5.5074,9.885,4.3145,0.0416,0.7343,UNSTABLE
f1r,41,10,5.1795,9.6407,4.4743,0.0416,0.5224,UNSTABLE
f1r,42,7,11.0444,25.9326,5.6443,0.0416,0.4555,UNSTABLE
f1r,43,8,7.0948,12.5955,4.2676,0.0416,0.738,UNSTABLE
f1r,44,8,10.7636,17.6466,3.941,0.0416,0.566,UNSTABLE
f1r,45,5,5.3806,8.6683,3.8726,0.0416,0.5724,UNSTABLE
f1r,46,2,10.3718,15.9436,3.6952,0.0416,0.7903,UNSTABLE
f1r,48,9,8.7861,16.1983,4.4318,0.0416,0.5254,UNSTABLE
f1r,49,10,5.4107,8.8733,3.9422,0.0416,0.5659,UNSTABLE
f1r,50,10,5.8306,12.9459,5.3374,0.0416,0.6702,UNSTABLE
f1r,51,9,9.001,19.4379,5.1912,0.0416,0.6778,UNSTABLE
f1r,52,8,9.4844,22.6719,5.7462,0.0416,0.451,UNSTABLE
f1r,53,5,7.4046,10.4019,3.3769,0.0416,0.6271,UNSTABLE
f1r,54,1,12.0,12.0,2.4038,0.0416,0.6,UNSTABLE
f1v,57,10,5.9019,7.1922,2.9294,0.0416,0.4924,UNSTABLE
f1v,66,5,12.1224,23.9698,4.7532,0.0416,0.5034,UNSTABLE
f1v,67,7,9.7136,19.5307,4.8333,0.0416,0.4984,UNSTABLE
f1v,68,6,11.378,21.8187,4.6097,0.0416,0.5129,UNSTABLE
f1v,69,5,11.6684,21.5952,4.4489,0.0416,0.5242,UNSTABLE
f1v,71,8,8.8831,21.1433,5.7216,0.0416,0.6521,UNSTABLE
f1v,72,8,12.3317,44.4009,8.6552,0.0416,0.3666,UNSTABLE
f1v,73,11,9.5878,20.3526,5.1028,0.0416,0.4827,UNSTABLE
f1v,74,8,10.0163,17.28,4.1471,0.0416,0.7478,UNSTABLE
f1v,75,9,9.5479,19.6851,4.956,0.0416,0.491,UNSTABLE
f1v,76,6,10.7267,25.0541,5.6146,0.0416,0.4569,UNSTABLE
