Line_ID,Folio,Token_Count,Operator_Count,Z_t,Clock_Phase,C_star_t
0,"f1r.1,@P0",0,6,6,0.0,0.6
1,"f1r.1,@P0",0,4,10,0.0002,1.0
2,"f1r.1,@P0",0,2,12,0.0004,1.0
3,"f1r.1,@P0",0,6,18,0.0005,0.6
4,"f1r.1,@P0",0,4,22,0.0007,1.0
5,"f1r.1,@P0",0,5,27,0.0009,1.0
6,"f1r.1,@P0",0,3,30,0.0011,1.0
7,"f1r.1,@P0",0,1,31,0.0012,0.0
8,"f1r.1,@P0",0,3,34,0.0014,1.0
9,"f1r.1,@P0",0,6,40,0.0016,0.8
10,"f1r.2,+P0",0,4,44,0.0018,1.0
11,"f1r.2,+P0",0,5,49,0.0019,0.75
12,"f1r.2,+P0",0,4,53,0.0021,0.6667
13,"f1r.2,+P0",0,4,57,0.0023,1.0
14,"f1r.2,+P0",0,7,64,0.0025,0.6667
15,"f1r.2,+P0",0,4,68,0.0027,1.0
16,"f1r.2,+P0",0,3,71,0.0028,1.0
17,"f1r.2,+P0",0,5,76,0.003,0.75
18,"f1r.2,+P0",0,9,85,0.0032,0.75
19,"f1r.3,+P0",0,6,91,0.0034,1.0
20,"f1r.3,+P0",0,5,96,0.0035,0.5
21,"f1r.3,+P0",0,2,98,0.0037,1.0
22,"f1r.3,+P0",0,6,104,0.0039,0.8
23,"f1r.3,+P0",0,4,108,0.0041,1.0
24,"f1r.3,+P0",0,7,115,0.0042,0.8333
25,"f1r.3,+P0",0,5,120,0.0044,0.75
26,"f1r.3,+P0",0,7,127,0.0046,0.8333
27,"f1r.3,+P0",0,2,129,0.0048,1.0
28,"f1r.4,+P0",0,5,134,0.005,0.75
29,"f1r.4,+P0",0,5,139,0.0051,0.5
30,"f1r.4,+P0",0,11,150,0.0053,0.7
31,"f1r.4,+P0",0,12,162,0.0055,0.8182
32,"f1r.4,+P0",0,6,168,0.0057,0.6
33,"f1r.4,+P0",0,2,170,0.0058,1.0
34,"f1r.4,+P0",0,4,174,0.006,0.3333
35,"f1r.5,+P0",0,6,180,0.0062,0.8
36,"f1r.5,+P0",0,5,185,0.0064,1.0
37,"f1r.5,+P0",0,7,192,0.0066,0.6667
38,"f1r.5,+P0",0,5,197,0.0067,0.75
39,"f1r.5,+P0",0,7,204,0.0069,0.6667
40,"f1r.6,=Pt",0,9,213,0.0071,0.75
41,"f1r.7,*P0",0,4,217,0.0073,1.0
42,"f1r.7,*P0",0,4,221,0.0074,1.0
43,"f1r.7,*P0",0,5,226,0.0076,0.5
44,"f1r.7,*P0",0,5,231,0.0078,0.5
45,"f1r.7,*P0",0,2,233,0.008,1.0
46,"f1r.7,*P0",0,1,234,0.0081,0.0
47,"f1r.7,*P0",0,8,242,0.0083,0.7143
48,"f1r.7,*P0",0,7,249,0.0085,1.0
49,"f1r.8,+P0",0,5,254,0.0087,0.5
50,"f1r.8,+P0",0,5,259,0.0089,1.0
51,"f1r.8,+P0",0,6,265,0.009,0.6
52,"f1r.8,+P0",0,6,271,0.0092,0.8
53,"f1r.8,+P0",0,7,278,0.0094,0.6667
54,"f1r.8,+P0",0,6,284,0.0096,0.8
55,"f1r.8,+P0",0,4,288,0.0097,0.6667
56,"f1r.8,+P0",0,4,292,0.0099,1.0
57,"f1r.8,+P0",0,3,295,0.0101,1.0
58,"f1r.9,+P0",0,5,300,0.0103,0.75
59,"f1r.9,+P0",0,4,304,0.0104,1.0
60,"f1r.9,+P0",0,5,309,0.0106,0.75
61,"f1r.9,+P0",0,5,314,0.0108,1.0
62,"f1r.10,=Pt",0,4,318,0.011,0.6667
63,"f1r.10,=Pt",0,2,320,0.0112,1.0
64,"f1r.10,=Pt",0,5,325,0.0113,1.0
65,"f1r.11,*P0",0,5,330,0.0115,0.5
66,"f1r.11,*P0",0,9,339,0.0117,0.75
67,"f1r.11,*P0",0,3,342,0.0119,0.5
68,"f1r.11,*P0",0,5,347,0.012,0.5
69,"f1r.11,*P0",0,5,352,0.0122,0.75
70,"f1r.11,*P0",0,6,358,0.0124,0.8
71,"f1r.11,*P0",0,10,368,0.0126,0.8889
72,"f1r.12,+P0",0,5,373,0.0127,0.5
73,"f1r.12,+P0",0,5,378,0.0129,0.5
74,"f1r.12,+P0",0,7,385,0.0131,0.6667
75,"f1r.12,+P0",0,5,390,0.0133,0.75
76,"f1r.12,+P0",0,4,394,0.0135,0.3333
77,"f1r.12,+P0",0,7,401,0.0136,0.8333
78,"f1r.12,+P0",0,6,407,0.0138,0.6
79,"f1r.12,+P0",0,5,412,0.014,0.75
80,"f1r.13,+P0",0,4,416,0.0142,0.6667
81,"f1r.13,+P0",0,5,421,0.0143,0.5
82,"f1r.13,+P0",0,7,428,0.0145,0.8333
83,"f1r.13,+P0",0,4,432,0.0147,0.3333
84,"f1r.13,+P0",0,10,442,0.0149,0.7778
85,"f1r.13,+P0",0,5,447,0.0151,0.5
86,"f1r.13,+P0",0,3,450,0.0152,1.0
87,"f1r.13,+P0",0,6,456,0.0154,0.6
88,"f1r.13,+P0",0,1,457,0.0156,0.0
